Step,League,CurrentWikipedia,SeasonLink,Clubs,Section,FirstClub
6,Eastern Counties Football League Division One North,https://en.wikipedia.org/wiki/Eastern_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Eastern_Counties_Football_League,20,Stadia_and_locations_2,AFC Sudbury reserves
6,Eastern Counties Football League Division One South,https://en.wikipedia.org/wiki/Eastern_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Eastern_Counties_Football_League,21,Stadia_and_locations_3,AS London
6,Hellenic Football League Division One,https://en.wikipedia.org/wiki/2025-26_Hellenic_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Hellenic_Football_League,18,Stadiums_and_locations,Alcester Town
6,Midland Football League Division One,https://en.wikipedia.org/wiki/2025–26_Midland_Football_League,https://en.wikipedia.org/wiki/2025–26_Midland_Football_League,22,Stadia_and_locations_2,AFC Bridgnorth
6,North West Counties Football League Division One North,https://en.wikipedia.org/wiki/North_West_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_North_West_Counties_Football_League,18,Stadia_and_locations_2,AFC Blackpool
6,North West Counties Football League Division One South,https://en.wikipedia.org/wiki/North_West_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_North_West_Counties_Football_League,19,Stadia_and_locations_3,Allscott Heath
6,Northern Counties East Football League Division One,https://en.wikipedia.org/wiki/Northern_Counties_East_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Counties_East_Football_League,22,Stadia_and_locations_2,Appleby Frodingham
6,Northern Football League Division Two,https://en.wikipedia.org/wiki/Northern_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Football_League,22,Stadia_and_locations_2,AFC Newbigging
6,South West Peninsula Football League Premier Division East,https://en.wikipedia.org/wiki/South_West_Peninsula_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_South_West_Peninsula_League,16,Stadia_and_locations,Axminster Town
6,South West Peninsula Football League Premier Division West,https://en.wikipedia.org/wiki/South_West_Peninsula_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_South_West_Peninsula_League,16,Stadia_and_locations_2,Bude Town
6,Southern Combination Division One,https://en.wikipedia.org/wiki/Southern_Combination_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Combination_Football_League,18,Stadia_and_locations_2,AFC Uckfield Town
6,Southern Counties East Football League Division One,https://en.wikipedia.org/wiki/Southern_Counties_East_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Counties_East_Football_League,18,Stadia_and_locations_2,AFC Greenwich Borough
6,Spartarn South Midlands Football League Division One,https://en.wikipedia.org/wiki/Spartan_South_Midlands_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Spartan_South_Midlands_Football_League,21,Stadia_and_locations_2,Ampthill Town
6,United Counties Football League Division One,https://en.wikipedia.org/wiki/United_Counties_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_United_Counties_League,23,Stadia_and_locations_3,Clifton All Whites
6,Wessex Football League Division One,https://en.wikipedia.org/wiki/Wessex_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Wessex_Football_League,22,Stadia_and_locations_2,A.F.C. Aldermaston
6,Western Football League Division One,https://en.wikipedia.org/wiki/2025–26_Western_Football_League,https://en.wikipedia.org/wiki/2025–26_Western_Football_League,20,Stadia_and_locations_2,AEK Boco
